Model                        |  F1   |  Rec. | Prec. |  mAP  || Ins. | Mat. |  Time  || Fail | Ret. 
----------------------------------------------------------------------------------------------------
Gemini 2.5 Pro               | 0.464 | 0.417 | 0.523 | 0.363 || 14.7 | 1.00 |  16.0s ||  nan |  nan
Gemini 2.5 Pro (high)        | 0.460 | 0.415 | 0.515 | 0.366 || 14.8 | 1.00 |  17.7s ||  nan |  nan
Gemini 2.5 Pro (preview)     | 0.451 | 0.402 | 0.515 | 0.357 || 14.3 | 1.00 |  14.9s ||  nan |  nan
Gemini 2.5 Flash (low)       | 0.435 | 0.395 | 0.485 | 0.344 || 15.0 | 1.00 |   7.1s ||  nan |  nan
Grok 4                       | 0.428 | 0.385 | 0.482 | 0.340 || 14.7 | 1.00 |  34.7s ||  nan |  nan
GPT-5 mini (high)            | 0.422 | 0.401 | 0.445 | 0.342 || 16.6 | 1.00 |  82.7s ||  nan |  nan
GPT-5                        | 0.418 | 0.413 | 0.424 | 0.352 || 17.9 | 1.00 |  54.2s ||  nan |  nan
OVIS 2.5 9B (think)          | 0.415 | 0.318 | 0.596 | 0.281 ||  9.8 | 1.00 |  32.0s ||  nan |  nan
Gemini 2.5 Flash (high)      | 0.415 | 0.379 | 0.458 | 0.324 || 15.3 | 1.00 |   7.4s ||  nan |  nan
GPT-5 mini                   | 0.414 | 0.388 | 0.444 | 0.338 || 16.1 | 1.00 |  32.7s ||  nan |  nan
Gemini 2.5 Flash Lite (high) | 0.412 | 0.340 | 0.522 | 0.291 || 12.0 | 1.00 |  11.9s || 0.00 | 0.02
GPT-4.1 mini                 | 0.410 | 0.319 | 0.571 | 0.279 || 10.3 | 1.00 |   6.0s ||  nan |  nan
GPT-4.1                      | 0.407 | 0.356 | 0.476 | 0.308 || 13.8 | 1.00 |   8.7s ||  nan |  nan
GPT-5 (high)                 | 0.407 | 0.413 | 0.400 | 0.348 || 19.0 | 1.00 | 101.4s ||  nan |  nan
Gemini 2.5 Flash             | 0.406 | 0.345 | 0.495 | 0.305 || 12.8 | 1.00 |   3.6s ||  nan |  nan
InternVL 3.5 38B (think)     | 0.405 | 0.332 | 0.521 | 0.295 || 11.7 | 1.00 |  58.3s ||  nan |  nan
Gemini 2.5 Flash (preview)   | 0.401 | 0.341 | 0.486 | 0.297 || 12.9 | 1.00 |   4.0s ||  nan |  nan
Gemini 2.5 Flash (medium)    | 0.400 | 0.366 | 0.441 | 0.311 || 15.3 | 1.00 |   7.2s ||  nan |  nan
GLM 4.5V (think)             | 0.400 | 0.312 | 0.555 | 0.276 || 10.4 | 1.00 |  14.9s ||  nan |  nan
Qwen3-VL 235B A22B           | 0.397 | 0.320 | 0.521 | 0.278 || 11.3 | 1.00 |   8.0s || 0.00 | 0.06
Qwen3-VL 235B A22B (reason)  | 0.392 | 0.329 | 0.483 | 0.286 || 12.6 | 1.00 |   8.3s || 0.00 | 0.14
GPT-5 nano (high)            | 0.383 | 0.319 | 0.478 | 0.280 || 12.3 | 1.00 |  51.3s ||  nan |  nan
InternVL 3.5 30B A3B (think) | 0.378 | 0.302 | 0.506 | 0.259 || 11.0 | 1.00 |  38.5s ||  nan |  nan
GPT-5 nano                   | 0.373 | 0.306 | 0.479 | 0.267 || 11.8 | 1.00 |  28.9s ||  nan |  nan
GLM 4.5V                     | 0.368 | 0.279 | 0.538 | 0.243 ||  9.9 | 1.00 |  16.0s || 0.03 | 0.22
OVIS 2.5 9B                  | 0.365 | 0.267 | 0.573 | 0.239 ||  8.6 | 1.00 |   8.0s ||  nan |  nan
InternVL 3.5 4B (think)      | 0.363 | 0.284 | 0.503 | 0.246 || 10.4 | 1.00 |  36.1s ||  nan |  nan
Mistral Medium 3.1 (t=0.15)  | 0.351 | 0.285 | 0.458 | 0.247 || 11.5 | 1.00 |   3.7s ||  nan |  nan
Qwen-VL Plus                 | 0.346 | 0.260 | 0.520 | 0.227 ||  9.2 | 1.00 |   4.4s || 0.00 | 0.34
Gemini 2.5 Flash Lite        | 0.345 | 0.282 | 0.445 | 0.241 || 11.7 | 1.00 |   3.1s || 0.00 | 0.02
InternVL 3.5 30B A3B         | 0.344 | 0.254 | 0.533 | 0.222 ||  8.8 | 1.00 |  42.2s ||  nan |  nan
InternVL 3.5 4B              | 0.343 | 0.262 | 0.495 | 0.229 ||  9.8 | 1.00 |  37.1s ||  nan |  nan
InternVL 3.5 2B (think)      | 0.337 | 0.258 | 0.486 | 0.220 ||  9.8 | 1.00 |  33.1s ||  nan |  nan
Gemma 27B                    | 0.327 | 0.267 | 0.421 | 0.229 || 11.7 | 1.00 |  11.4s || 0.00 | 0.00
Mistral Medium 3.1 (t=1.00)  | 0.327 | 0.284 | 0.383 | 0.247 || 13.7 | 1.00 |   4.0s ||  nan |  nan
Claude Sonnet 4              | 0.321 | 0.250 | 0.451 | 0.216 || 10.2 | 1.00 |   6.3s ||  nan |  nan
Gemma 12B                    | 0.314 | 0.239 | 0.456 | 0.205 || 10.1 | 1.00 |  14.1s || 0.05 | 0.56
GPT-4.1 nano                 | 0.310 | 0.229 | 0.480 | 0.201 ||  8.8 | 1.00 |   4.6s ||  nan |  nan
InternVL 3.5 2B              | 0.294 | 0.207 | 0.505 | 0.179 ||  7.5 | 1.00 | 117.4s ||  nan |  nan
Gemma 4B                     | 0.282 | 0.206 | 0.448 | 0.179 ||  8.5 | 1.00 |   3.2s || 0.00 | 0.00
