Model                        |  F1   |  Rec. | Prec. |  mAP  || Ins. | Mat. |  Time  || Fail | Ret.
---------------------------------------------------------------------------------------------------
Gemini 2.5 Pro (high)        | 0.541 | 0.489 | 0.606 | 0.338 || 11.4 | 0.50 |  14.5s ||  nan |  nan
Gemini 2.5 Pro (preview)     | 0.537 | 0.487 | 0.599 | 0.350 || 11.1 | 0.51 |  13.3s ||  nan |  nan
Gemini 2.5 Pro               | 0.537 | 0.487 | 0.598 | 0.337 || 11.4 | 0.50 |  14.7s ||  nan |  nan
GLM 4.5V (think)             | 0.526 | 0.445 | 0.642 | 0.334 ||  8.2 | 0.60 |  14.9s ||  nan |  nan
Grok 4                       | 0.524 | 0.531 | 0.518 | 0.340 || 12.1 | 0.59 |  58.2s ||  nan |  nan
GPT-5 chat                   | 0.524 | 0.449 | 0.628 | 0.336 ||  9.6 | 0.52 |   4.5s || 0.00 | 0.00
InternVL 3.5 38B (think)     | 0.523 | 0.464 | 0.599 | 0.336 ||  9.8 | 0.55 |  59.1s ||  nan |  nan
Gemini 2.5 Flash (medium)    | 0.520 | 0.487 | 0.558 | 0.323 || 12.7 | 0.48 |   6.6s ||  nan |  nan
Gemini 2.5 Flash Lite (high) | 0.520 | 0.449 | 0.616 | 0.316 ||  8.9 | 0.57 |   9.5s || 0.00 | 0.05
Gemini 2.5 Flash (low)       | 0.518 | 0.479 | 0.563 | 0.326 || 12.1 | 0.49 |   5.7s ||  nan |  nan
InternVL 3.5 20B A4B (think) | 0.518 | 0.457 | 0.597 | 0.312 ||  9.2 | 0.58 |  40.1s ||  nan |  nan
Gemini 2.5 Flash (high)      | 0.515 | 0.493 | 0.540 | 0.327 || 13.0 | 0.49 |   7.6s ||  nan |  nan
Qwen3-VL 235B A22B (think)   | 0.513 | 0.459 | 0.580 | 0.324 ||  8.5 | 0.66 |   5.0s || 0.00 | 0.14
GLM 4.5V                     | 0.510 | 0.412 | 0.670 | 0.328 ||  7.4 | 0.60 |  15.9s || 0.03 | 0.19
GPT-4o chat                  | 0.509 | 0.482 | 0.539 | 0.336 || 12.1 | 0.52 |   6.8s || 0.00 | 0.00
Gemini 2.5 Flash             | 0.509 | 0.453 | 0.579 | 0.321 ||  9.5 | 0.58 |   2.9s ||  nan |  nan
GPT-4.1                      | 0.508 | 0.472 | 0.550 | 0.330 || 10.5 | 0.57 |   7.5s ||  nan |  nan
Gemini 2.5 Flash (preview)   | 0.507 | 0.444 | 0.590 | 0.323 ||  9.2 | 0.57 |   3.2s ||  nan |  nan
GPT-5 mini                   | 0.505 | 0.501 | 0.509 | 0.327 || 13.7 | 0.50 |  27.9s ||  nan |  nan
GPT-4.1 mini                 | 0.504 | 0.426 | 0.618 | 0.297 ||  7.8 | 0.62 |   4.3s ||  nan |  nan
o4 mini (high)               | 0.504 | 0.457 | 0.562 | 0.310 || 10.3 | 0.55 |  21.9s || 0.00 | 0.13
Grok 4 Fast (high)           | 0.504 | 0.485 | 0.525 | 0.313 || 12.7 | 0.52 |   9.1s || 0.01 | 0.51
InternVL 3.5 4B (think)      | 0.501 | 0.432 | 0.597 | 0.292 ||  8.9 | 0.57 |  35.0s ||  nan |  nan
GPT-5 mini (high)            | 0.501 | 0.476 | 0.529 | 0.297 || 13.9 | 0.46 |  82.4s || 0.02 | 0.10
Qwen3-VL 235B A22B           | 0.500 | 0.456 | 0.554 | 0.329 ||  9.4 | 0.62 |   6.1s || 0.01 | 0.10
o3 (high)                    | 0.499 | 0.496 | 0.503 | 0.324 || 13.5 | 0.52 |  83.3s || 0.01 | 0.06
OVIS 2.5 9B                  | 0.499 | 0.399 | 0.667 | 0.316 ||  7.0 | 0.60 |   6.5s ||  nan |  nan
InternVL 3.5 30B A3B         | 0.499 | 0.410 | 0.635 | 0.306 ||  7.1 | 0.64 |  35.1s ||  nan |  nan
Qwen3-VL 30B A3B (think)     | 0.495 | 0.391 | 0.677 | 0.276 ||  5.8 | 0.70 |  25.4s || 0.01 | 0.09
Grok 4 Fast                  | 0.495 | 0.480 | 0.510 | 0.304 || 13.0 | 0.52 |   9.1s || 0.03 | 0.54
Claude Sonnet 4.5            | 0.491 | 0.394 | 0.650 | 0.294 ||  7.4 | 0.57 |   5.3s || 0.00 | 0.00
InternVL 3.5 30B A3B (think) | 0.490 | 0.415 | 0.600 | 0.289 ||  9.2 | 0.52 |  38.6s ||  nan |  nan
Mistral Medium 3.1 (t=1.00)  | 0.489 | 0.408 | 0.611 | 0.313 ||  8.4 | 0.56 |   2.9s ||  nan |  nan
OVIS 2.5 9B (think)          | 0.489 | 0.394 | 0.644 | 0.301 ||  8.1 | 0.53 |  24.0s ||  nan |  nan
GPT-5 (high)                 | 0.487 | 0.510 | 0.466 | 0.311 || 16.7 | 0.46 |  88.6s ||  nan |  nan
GPT-5 nano (high)            | 0.487 | 0.415 | 0.589 | 0.297 ||  9.4 | 0.53 |  44.2s ||  nan |  nan
GPT-5                        | 0.486 | 0.503 | 0.471 | 0.311 || 15.8 | 0.47 |  47.6s ||  nan |  nan
GPT-5 nano                   | 0.485 | 0.416 | 0.581 | 0.289 ||  9.2 | 0.54 |  24.1s ||  nan |  nan
Claude Sonnet 4.5 (high)     | 0.481 | 0.408 | 0.588 | 0.283 ||  8.4 | 0.58 |  16.6s || 0.00 | 0.01
Gemma 27B                    | 0.478 | 0.418 | 0.558 | 0.284 || 10.6 | 0.50 |   9.5s || 0.00 | 0.00
Claude Sonnet 4              | 0.472 | 0.372 | 0.646 | 0.291 ||  7.9 | 0.51 |   5.5s ||  nan |  nan
Qwen-VL Plus                 | 0.472 | 0.368 | 0.659 | 0.270 ||  6.8 | 0.59 |   2.8s || 0.02 | 0.53
Mistral Medium 3.1 (t=0.15)  | 0.472 | 0.418 | 0.541 | 0.308 ||  9.3 | 0.59 |   3.0s ||  nan |  nan
InternVL 3.5 2B (think)      | 0.470 | 0.388 | 0.595 | 0.294 ||  7.9 | 0.58 |  27.7s ||  nan |  nan
InternVL 3.5 2B              | 0.466 | 0.386 | 0.588 | 0.288 ||  6.8 | 0.67 | 124.8s ||  nan |  nan
Gemma 12B                    | 0.462 | 0.384 | 0.578 | 0.291 ||  9.3 | 0.50 |  12.5s || 0.00 | 0.37
Claude Haiku 4.5 (high)      | 0.461 | 0.396 | 0.551 | 0.258 || 11.1 | 0.45 |  14.7s || 0.00 | 0.00
Claude Haiku 4.5             | 0.459 | 0.379 | 0.582 | 0.256 ||  9.8 | 0.47 |   3.6s || 0.00 | 0.00
Gemini 2.5 Flash Lite        | 0.447 | 0.435 | 0.460 | 0.304 || 10.1 | 0.66 |   2.8s || 0.00 | 0.01
Qwen3-VL 30B A3B             | 0.432 | 0.408 | 0.459 | 0.275 ||  9.6 | 0.67 |   4.4s || 0.03 | 0.50
Gemma 4B                     | 0.430 | 0.323 | 0.641 | 0.255 ||  6.4 | 0.55 |   3.3s || 0.00 | 0.01
